mass,year,mint,condition
3.15,1973,4,1
2.29,1994,3,2
2.52,1993,2,2
3.03,1978,3,2
3.29,1963,3,1
2.99,1979,3,2
3.23,1971,3,1
2.75,2013,4,2
2.9,1977,3,2
2.86,1977,3,1
2.95,1963,2,2
2.66,2020,2,1
2.94,1974,3,2
2.65,2020,1,2
2.62,1995,2,1
3.31,1968,2,1
2.9,1971,2,2
3.01,1962,4,1
3.35,1970,3,1
2.74,1999,2,2
2.95,1961,4,2
2.85,1973,3,1
2.37,1988,3,1
3.04,1980,4,1
2.91,1981,1,1
3.08,1982,3,1
2.74,2018,2,2
3.32,1981,3,2
3.08,1976,1,1
2.47,2014,3,2
2.71,2014,3,1
2.36,2000,2,2
2.76,1988,3,2
2.98,1974,4,2
2.32,2004,3,1
2.42,1987,3,1
2.76,2004,3,2
2.61,1997,3,2
3.54,1963,3,1
2.82,1969,4,2
2.81,1973,3,2
3.07,1980,3,2
3.03,1967,1,1
2.88,1962,1,2
3.06,1973,1,1
2.91,1961,1,1
2.53,2007,3,2
3.1,1972,1,2
2.77,1993,3,2
3.09,1969,4,2
3.03,1972,2,1
2.73,1992,1,2
3.05,1981,3,1
2.66,2015,3,1
3.1,1971,2,2
2.67,2018,3,1
2.76,1990,4,1
3.13,1982,1,1
2.85,1977,2,2
3.11,1971,1,2
2.93,1980,4,1
3.13,1974,2,1
2.92,1977,3,2
2.73,1995,1,1
3.04,1967,3,2
3.21,1965,2,1
2.59,1989,2,2
3.34,1965,1,1
2.98,1965,4,2
2.57,2007,4,1
2.99,1973,1,2
2.82,1966,2,1
2.79,1993,3,2
3.15,1972,4,2
3.37,1971,2,1
2.37,2016,1,1
2.44,1987,4,2
3.04,1979,2,2
2.58,1999,3,1
3,1980,2,1
3.16,1972,1,1
2.72,2012,2,1
2.97,1981,2,2
2.99,1977,2,2
2.46,1988,4,2
2.88,1963,2,2
3.03,1965,3,2
2.6,1998,4,1
2.45,1993,2,2
3.24,1969,4,1
3.11,1963,2,2
3.06,1974,1,2
2.63,2008,4,2
3.13,1968,1,2
2.93,1964,3,2
2.88,1962,3,2
3.22,1967,2,2
2.58,2019,3,1
2.51,2014,1,1
3.18,1971,3,2
3.07,1979,2,1
2.71,1991,2,2
2.52,1995,1,2
3.06,1962,3,2
2.84,1967,3,1
3.17,1968,4,2
2.86,1961,1,1
3.1,1976,4,1
3.06,1977,4,1
2.96,1982,4,1
3.27,1961,1,2
3.01,1973,1,2
3.1,1963,4,1
3.06,1960,3,1
3.08,1968,3,1
2.56,1995,2,1
2.99,1980,3,2
2.95,1981,1,2
2.99,1965,4,2
2.93,1973,2,1
2.46,2005,4,1
2.51,1982,1,2
2.86,1975,1,2
2.45,2016,1,1
2.81,1970,3,1
3.13,1961,2,1
2.29,1987,2,1
2.7,2002,4,1
2.99,1979,3,2
2.84,1977,2,1
2.78,1994,4,2
2.66,2013,3,2
3.04,1971,3,2
3.21,1961,4,2
3.3,1966,4,1
3.04,1966,4,1
2.97,1969,2,2
3.11,1964,2,1
2.68,1996,4,2
2.26,2011,4,1
2.61,1984,3,2
2.43,2009,3,1
3,1979,3,1
3.12,1964,1,2
2.74,1989,4,2
2.79,1991,3,2
2.97,1976,3,1
2.53,2019,1,2
3.39,1967,3,1
2.71,2009,3,1
2.75,2016,2,2
3.15,1978,3,2
3.13,1961,4,1
2.84,1967,1,1
3.2,1965,2,1
3.17,1973,3,1
3.1,1979,4,1
2.85,1978,2,1
3.09,1962,4,1
2.56,2003,3,2
3.37,1966,3,1
3.13,1973,3,1
3.04,1977,4,1
2.85,1980,4,2
3.32,1961,2,2
2.87,1962,4,1
2.9,1962,2,2
3.05,1971,4,2
2.53,1984,3,2
2.91,1981,1,2
2.92,1968,3,2
2.67,2002,3,2
3.08,1962,4,2
2.68,1998,1,2
3.09,1963,3,2
2.51,1984,4,2
2.44,1983,2,2
3.21,1972,1,1
3.45,1971,1,1
2.85,1965,4,2
3.19,1965,2,2
3.27,1981,2,1
3.02,1981,1,2
2.72,2008,3,2
2.86,1972,3,1
3.08,1961,3,2
2.53,1991,1,1
3.13,1976,3,2
2.4,1996,1,1
2.93,1970,3,2
2.4,2015,2,1
2.47,1985,2,1
2.63,1991,4,1
2.56,2019,2,2
2.45,2020,1,1
3.37,1974,3,2
2.75,2015,3,2
3.44,1981,1,2
2.52,1993,2,2
2.92,1964,2,2
2.58,2018,4,2
2.99,1965,2,2
2.85,1974,3,1
3,1982,2,2
2.51,1989,3,1
2.66,1998,3,2
3.24,1962,2,1
2.33,1986,3,1
2.84,1963,3,2
3.03,1961,1,2
3.35,1960,1,1
2.98,1961,2,2
2.9,1972,4,1
3.15,1968,4,2
2.8,1970,1,1
3.03,1973,2,1
3.14,1973,3,2
3.12,1980,4,2
3.27,1967,1,1
2.93,1962,1,1
2.61,1982,3,2
2.46,2001,1,2
3.07,1976,4,2
3.14,1978,4,1
2.68,1993,3,1
3.1,1972,3,2
2.97,1963,1,2
3.3,1981,1,2
3.19,1964,3,2
2.72,2009,3,2
3.29,1970,4,1
2.93,1981,3,2
3.17,1979,4,1
2.72,1996,4,2
2.63,2001,4,1
3.15,1978,1,2
2.82,1971,4,2
2.86,1981,4,1
2.62,2016,1,2
2.71,2016,2,1
3.19,1982,2,2
2.74,2000,4,1
3.36,1970,4,1
3.27,1970,3,2
2.91,1965,2,2
2.75,2011,1,2
3.41,1968,4,1
3.06,1982,4,1
3.05,1964,4,1
2.74,2019,3,1
2.49,1984,1,2
2.93,1973,1,1
3.21,1964,3,2
2.62,1992,2,1
3.15,1976,4,1
2.91,1970,3,1
2.99,1982,2,2
2.89,1965,3,1
3.12,1975,2,2
3.18,1970,3,2
2.82,1972,1,2
2.4,1995,4,1
3.37,1971,3,1
3.17,1963,2,1
2.33,2007,2,2
2.52,2016,2,1
3.27,1974,3,2
2.5,2013,4,2
3,1967,3,2
2.85,1969,1,1
3.1,1968,1,1
3.29,1978,3,2
3.09,1982,1,2
3.15,1964,4,2
2.73,2013,1,2
3.09,1972,2,2
3.07,1974,2,2
3.24,1972,4,2
2.68,2008,2,2
2.99,1972,4,1
3.04,1964,3,2
2.92,1968,3,1
3.16,1963,4,1
2.5,2016,2,2
2.79,1987,3,1
2.84,1965,3,2
3.29,1968,2,1
2.76,1985,1,2
2.57,1985,3,1
2.53,1984,4,1
3.07,1968,1,1
2.26,2016,4,1
3.19,1979,1,1
2.92,1963,4,1
2.49,2004,1,2
2.87,1962,2,1
2.94,1977,4,1
3.04,1962,2,1
3.05,1971,4,1
3.09,1977,4,2
3.12,1968,1,1
2.67,1982,4,1
2.65,2006,2,2
2.79,2010,3,2
3.2,1962,1,1
3.24,1969,4,1
2.8,1961,3,1
3.17,1982,2,2
3.13,1975,1,2
3.15,1982,1,2
2.99,1971,1,2
2.98,1981,3,2
2.74,2010,4,2
2.92,1967,1,1
2.57,2009,2,2
3.04,1967,2,2
2.5,1990,4,1
3.13,1974,1,2
3.15,1970,4,1
2.5,2014,4,2
2.99,1962,1,2
3.15,1980,1,1
2.5,2016,3,1
2.74,1998,4,2
2.53,1982,2,1
2.9,1964,2,2
3.01,1979,3,2
3.21,1964,4,1
3.17,1972,4,1
2.75,2000,1,1
3.18,1978,4,2
3.11,1967,3,1
2.43,1997,4,2
3.09,1968,2,1
3.04,1964,2,1
3.31,1978,3,1
3.1,1969,3,1
2.63,1988,1,2
2.86,1979,1,2
3.09,1969,4,1
3.07,1976,1,1
2.34,2002,2,1
2.9,1962,2,1
2.8,1973,4,1
2.53,2008,1,1
2.62,2008,4,1
2.52,2015,1,1
3.17,1960,4,1
3.2,1976,3,1
3.37,1971,2,2
2.87,1964,3,2
3.03,1976,1,1
3.11,1962,2,1
2.97,1980,4,2
2.58,1991,1,2
2.35,1997,3,2
3.34,1977,1,2
3.21,1975,4,2
2.69,2007,4,1
2.94,1966,1,2
2.99,1966,3,2
2.38,1997,1,1
3.03,1962,1,1
2.88,1970,3,2
3.31,1982,3,2
3.07,1974,1,1
3.11,1962,2,2
2.77,1996,4,2
3.19,1980,4,1
2.45,2001,1,1
3.07,1963,3,1
2.96,1968,2,1
2.9,1965,1,2
3.32,1967,1,1
3.22,1962,3,2
2.91,1977,1,2
2.92,1980,2,1
3.01,1962,2,1
3.09,1972,4,2
2.69,1992,4,1
3.07,1980,3,1
3.11,1976,1,1
3,1973,3,2
2.53,2020,3,1
2.97,1972,1,2
2.71,2009,3,2
2.65,2014,1,1
2.84,1965,1,1
2.6,2002,2,2
2.55,2006,1,2
2.92,1962,4,1
3.28,1971,1,2
2.8,1964,2,2
2.36,1988,3,1
2.57,2011,1,2
2.86,1974,1,2
3.29,1977,1,2
3.38,1976,2,2
2.96,1969,1,1
2.82,1965,1,2
2.9,1974,1,1
2.96,1960,4,2
2.82,1967,2,2
2.87,1964,4,2
3,1966,4,2
2.66,1985,1,1
2.74,1988,2,2
2.87,1979,4,1
3.28,1965,2,2
3.05,1978,2,1
3.24,1976,2,1
2.72,1985,1,2
3.06,1961,4,2
2.64,1994,1,1
2.53,2019,1,2
3.16,1967,3,1
3,1977,1,1
2.63,1987,4,1
3.13,1974,1,2
2.98,1976,3,2
3.13,1981,3,1
3.02,1982,2,1
2.68,2005,3,1
2.68,1986,4,2
2.43,2008,4,2
2.87,1962,1,1
3.03,1965,1,1
3.28,1979,2,2
3.15,1975,4,1
2.73,2013,4,1
2.76,1984,4,2
2.46,1997,4,1
2.48,1993,4,2
2.84,1979,1,1
2.68,1998,1,2
2.77,2006,3,2
2.57,2008,2,1
3.04,1964,1,1
2.77,2008,3,2
2.53,1990,3,1
2.61,1986,4,2
2.58,1988,4,2
2.79,2001,1,1
3.06,1963,4,2
3.36,1962,2,2
2.75,1994,1,2
3.02,1961,1,2
2.96,1972,2,1
2.98,1967,1,2
2.54,1993,2,2
3.35,1967,4,2
3.04,1965,1,2
2.99,1964,1,2
3.07,1973,1,2
2.86,1978,2,1
2.72,2019,2,2
2.9,1982,1,1
2.8,1967,1,1
2.58,2007,3,1
2.96,1973,2,1
3.06,1972,1,2
3.08,1963,2,2
3.17,1976,3,2
3.18,1973,1,1
3.33,1972,3,2
2.65,2002,2,1
2.7,2006,3,1
2.96,1960,3,2
3.32,1976,4,1
2.61,2018,1,2
2.41,2015,4,1
3,1975,3,2
3.36,1962,2,1
3.31,1967,4,2
3.12,1982,1,1
2.91,1982,1,1
3,1969,1,2
2.67,2000,3,1
2.76,2017,4,1
2.99,1974,1,1
3,1979,4,2
3.01,1971,2,1
2.56,1996,2,2
2.95,1975,3,2
2.55,2019,2,2
2.79,2017,1,1
2.74,2013,3,2
3.4,1976,4,1
3.1,1960,2,2
3.14,1961,1,2
3.09,1964,1,1
2.68,2020,3,2
2.33,1985,1,1
2.68,1984,3,1
2.9,1963,4,2
3.03,1971,3,1
2.94,1963,3,2
3.27,1966,4,1
2.81,1964,4,2
3.22,1971,1,1
2.91,1964,1,2
3,1965,4,2
2.79,1986,1,1
3.26,1982,1,1
2.88,1980,3,1
2.61,2015,3,2
2.63,2016,4,1
2.91,1964,1,2
3,1970,4,1
2.95,1970,1,2
3.06,1966,2,2
2.73,2012,2,1
2.77,2020,1,2
3.09,1979,3,2
3.1,1970,4,1
3.15,1965,3,1
2.8,1968,1,1
2.54,2001,2,2
2.84,1975,1,1
2.78,2007,4,1
2.89,1967,1,2
2.93,1963,4,2
2.76,1996,2,2
2.54,1993,2,2
2.96,1980,4,2
2.71,1988,3,2
3.06,1974,2,2
3.09,1981,4,2
2.99,1960,2,1
2.47,2013,2,1
2.41,1990,2,2
2.32,2007,4,2
2.36,1997,4,2
2.94,1966,2,2
2.92,1971,4,2
3.16,1977,4,2
2.56,2005,1,2
2.93,1962,2,1
2.52,2009,2,1
2.85,1965,2,2
2.58,1998,1,1
2.98,1965,4,1
3.08,1969,3,2
2.94,1978,4,1
2.58,2008,1,1
3.04,1980,2,2
3,1960,1,1
2.92,1976,4,1
2.62,1993,4,2
2.53,1982,1,2
2.85,1982,4,2
3.28,1977,2,1
3.13,1974,4,1
2.66,2010,2,2
2.36,1983,1,2
2.9,1978,3,1
2.68,2008,2,2
2.94,1982,4,1
3.06,1975,1,1
2.69,1996,2,2
3.18,1972,1,2
2.94,1976,3,2
3.26,1963,3,1
3.3,1965,4,1
3.15,1975,2,2
2.96,1979,4,1
2.49,2006,4,1
2.72,2000,1,1
2.73,1982,4,1
2.45,1997,2,1
3.03,1962,4,1
2.9,1963,1,2
2.81,1970,2,2
2.86,1978,4,2
2.91,1974,3,1
2.59,2014,1,1
2.38,2009,2,2
2.8,1972,4,2
2.95,1970,3,2
2.54,2014,2,2
2.89,1981,4,1
2.68,2003,3,1
2.75,2012,4,2
3.05,1975,2,1
2.51,1986,4,1
2.41,1988,2,1
2.41,1982,4,1
2.91,1975,1,2
3.15,1964,2,2
3,1973,3,1
2.82,1963,1,1
2.63,2014,4,1
3.24,1965,3,2
3.17,1981,2,1
2.34,1993,2,2
2.94,1969,4,2
3.25,1960,2,2
2.99,1968,3,1
2.92,1973,3,2
2.7,2020,2,1
3.15,1971,3,2
2.43,2009,1,2
2.91,1968,3,1
2.41,2014,2,1
2.58,1997,2,2
3.09,1980,3,2
3.2,1978,1,2
3.24,1964,1,1
2.62,1997,1,2
3.07,1964,2,2
3.14,1976,4,1
3.04,1982,2,1
2.51,2004,4,2
3.09,1980,2,1
2.8,1979,4,2
3,1971,2,2
2.66,1999,2,2
2.64,2004,2,1
3.13,1974,1,1
2.62,1993,3,2
2.63,2010,3,1
2.88,1977,4,2
3.12,1967,1,1
2.53,2011,2,1
3.04,1978,4,1
2.67,2009,1,2
2.68,1994,1,1
3.05,1978,3,1
2.69,2020,2,1
2.94,1976,3,2
3.23,1969,2,2
3.06,1980,2,1
2.63,2012,3,1
3.09,1971,1,2
2.6,2000,4,2
2.93,1966,2,1
2.5,2017,2,2
2.89,1967,3,1
2.32,1996,1,1
3,1974,4,2
2.89,1975,1,2
3.21,1963,2,2
2.89,1968,1,1
2.6,1988,4,2
2.88,1974,3,2
2.72,1997,2,2
3.01,1961,3,2
2.57,1989,2,2
3.38,1978,3,2
2.99,1978,4,1
2.63,2014,1,2
3.23,1977,2,1
2.91,1971,2,1
2.39,1986,4,2
3.22,1974,1,2
3.01,1970,4,1
3,1982,4,1
3.13,1968,2,2
2.89,1975,4,2
2.81,1968,2,2
2.8,1980,2,2
2.73,2020,4,2
2.63,2000,4,2
2.78,2006,1,2
3.36,1966,3,1
2.71,2015,1,1
2.74,2015,2,1
3.32,1966,3,1
2.84,1971,3,1
2.59,1988,4,1
2.58,1991,2,2
3.16,1972,2,2
3.35,1967,2,2
2.64,1998,1,2
3.07,1976,4,1
3.26,1965,3,2
2.82,1979,3,2
3.23,1979,4,2
2.7,1985,2,2
2.98,1977,4,2
3.39,1962,1,1
3.14,1977,3,1
2.67,1993,3,1
3.04,1972,4,1
2.98,1977,2,1
3.1,1976,3,2
2.67,1983,1,2
2.49,2001,3,1
2.79,1986,1,2
3,1960,4,1
2.54,2003,1,1
3.14,1980,2,2
2.66,1991,4,2
2.58,1998,1,1
3.28,1969,1,2
3.14,1967,3,1
3.05,1970,3,2
2.96,1979,1,2
2.88,1960,1,2
3.17,1968,1,1
3.06,1963,2,2
3.03,1975,4,2
2.61,1999,4,2
2.87,1980,3,2
2.5,1998,2,1
3.07,1970,1,1
2.62,1982,2,1
2.68,1988,2,1
2.76,1986,1,2
2.62,2009,4,1
3.02,1967,4,1
2.86,1969,2,2
3.04,1977,4,1
2.89,1978,3,1
2.9,1982,1,2
2.91,1974,4,1
2.5,2006,3,2
2.64,2013,3,1
3.37,1970,4,1
2.51,2005,3,1
2.8,1977,4,2
2.86,1974,1,1
2.52,2003,1,2
3.14,1966,4,2
3.3,1966,2,2
3.16,1960,2,2
2.94,1964,1,1
3.17,1968,4,2
3.28,1971,2,2
2.95,1963,2,2
2.97,1961,3,2
2.85,1977,4,2
2.64,1983,4,2
3.03,1979,1,2
3.39,1969,1,2
2.98,1981,1,2
2.51,1988,2,1
3.17,1971,2,2
2.95,1969,2,1
2.81,1982,2,1
3.07,1980,1,1
2.59,2001,1,2
3.19,1982,1,1
3.21,1982,2,2
2.95,1968,3,2
3.18,1973,3,2
2.65,2008,1,2
3.21,1976,1,1
2.78,2012,1,1
2.98,1979,4,2
3.13,1975,4,2
2.96,1973,2,1
3.23,1973,2,1
3.06,1964,4,1
2.77,2000,2,1
3.36,1978,4,2
2.65,1984,3,1
2.36,2013,2,2
2.83,1966,1,1
2.86,1976,4,1
2.4,1997,2,1
3.12,1978,1,1
3.09,1967,1,2
2.69,2016,4,1
2.99,1968,1,2
3.18,1979,2,2
3.16,1964,4,2
3.16,1968,2,1
3.13,1980,1,2
2.54,2016,2,1
3.17,1972,2,1
3.02,1970,3,1
2.58,2003,3,1
2.59,2004,4,2
2.4,2009,3,1
3.17,1976,3,2
2.96,1976,4,1
3.43,1981,1,1
2.57,1990,3,1
3.09,1972,2,2
3.09,1974,1,2
2.98,1976,1,2
3.3,1982,1,1
2.82,1975,1,1
2.34,1996,3,2
2.99,1972,4,1
3.27,1965,1,2
2.6,2008,1,2
2.84,1972,3,2
2.77,2018,2,1
2.74,1995,1,1
3.29,1963,2,2
2.99,1982,1,2
2.9,1971,4,1
2.8,1976,3,2
2.8,1981,4,2
2.81,1979,3,2
3.09,1965,2,2
2.82,1966,3,2
3,1979,2,2
3.18,1967,2,2
2.97,1977,1,2
2.56,1982,4,2
2.87,1970,4,2
3.12,1970,2,2
3.08,1961,2,2
2.54,1988,3,1
2.62,1991,2,1
2.64,1993,3,1
2.49,1985,3,1
3.23,1970,2,2
2.87,1960,3,1
3.14,1974,1,1
2.55,1995,2,2
2.53,2016,2,2
2.43,1986,3,2
3.04,1973,4,2
2.94,1981,1,1
2.92,1966,2,2
3.08,1976,3,2
3.23,1981,3,1
2.57,2005,3,1
2.57,2019,1,1
3.17,1981,4,2
2.69,1997,2,1
3.1,1975,4,1
3.22,1960,3,1
3.09,1979,1,2
2.88,1979,4,2
3.04,1975,1,2
3.01,1964,1,1
3.14,1973,2,1
2.96,1960,2,1
2.93,1982,1,1
3.02,1970,3,2
3.02,1967,2,1
3.05,1975,2,1
2.87,1962,2,2
3.29,1980,2,2
2.94,1976,1,2
3.08,1977,2,1
2.59,1993,3,2
2.52,2015,1,2
2.48,2014,1,2
2.8,1980,3,1
3.07,1968,3,2
3.11,1963,1,1
2.83,1978,2,1
2.5,2017,4,1
3.13,1963,1,1
2.63,2020,3,2
2.5,2012,3,2
2.9,1972,3,2
2.79,1999,3,2
2.45,2009,2,1
2.55,1999,4,1
2.65,2020,1,1
3.16,1972,2,1
2.53,1995,1,2
2.5,1992,3,2
3.19,1969,4,1
3.15,1978,3,2
3.1,1981,1,1
2.95,1964,2,1
2.76,1991,1,1
2.82,1968,3,2
2.62,1998,2,2
2.45,2007,1,2
2.6,2006,2,2
3.02,1964,1,1
2.55,2003,3,2
2.7,1996,4,1
2.75,2008,3,2
3.32,1970,4,1
3.31,1963,4,2
3.19,1981,1,2
3,1963,2,1
2.68,1986,4,1
2.77,2017,2,2
3.29,1969,1,2
2.89,1961,4,2
2.97,1979,4,1
2.18,2001,1,2
3.21,1972,1,1
2.42,1998,2,2
3.01,1960,2,1
3.1,1971,1,2
3.28,1976,2,1
3.01,1982,4,1
2.3,1999,1,1
2.81,1960,1,2
2.5,1983,4,2
3.4,1963,2,2
3.05,1967,1,2
3.12,1960,1,2
3.26,1961,3,1
3.21,1978,3,1
3.05,1960,2,1
2.67,1989,3,1
3.08,1961,1,2
3.07,1963,4,1
2.68,1982,4,1
3.29,1970,3,1
2.73,1988,3,1
3.33,1978,3,2
3.02,1962,4,1
3.07,1968,3,1
3.27,1960,3,2
2.98,1974,2,2
2.52,1986,1,2
2.73,1995,1,2
2.93,1976,4,1
3.14,1963,2,2
2.85,1982,1,2
2.76,2011,3,2
2.62,2006,4,2
3.23,1979,1,1
3.13,1979,4,2
2.99,1961,2,1
3.11,1964,1,1
3.19,1979,2,1
2.9,1968,1,1
3.01,1976,2,1
2.63,2013,2,2
2.62,1997,2,1
2.93,1972,2,2
3.08,1968,2,1
2.97,1969,1,1
2.6,2002,2,1
2.33,1982,3,2
2.84,1980,4,1
3.15,1970,2,1
3.26,1981,1,2
2.93,1966,1,1
3.2,1960,1,1
3.02,1978,1,2
2.68,1988,1,2
3.02,1976,4,1
2.79,2019,2,2
3.03,1962,2,1
2.49,2004,1,2
3.24,1967,4,1
2.64,1992,1,1
2.73,1982,1,2
2.7,2013,4,1
3.11,1977,1,1
2.23,2009,1,1
2.47,2018,4,2
3.1,1970,4,2
2.85,1964,2,2
2.61,2017,1,2
2.6,2018,3,1
3.03,1974,3,1
3.31,1963,3,1
2.53,2015,4,1
2.97,1979,1,1
2.42,2009,3,1
2.6,2016,3,2
2.53,1982,4,2
2.53,1993,2,2
3.08,1973,2,2
3.3,1968,3,1
2.34,2019,1,2
3.42,1973,4,2
2.42,2014,3,1
2.31,1983,3,1
3.03,1981,4,2
2.89,1960,2,1
2.73,2014,2,1
3.18,1960,2,1
2.97,1966,1,2
3.03,1977,2,1
3.26,1979,2,2
3.02,1961,3,1
3.12,1965,1,1
3.06,1982,2,1
3,1981,1,2
2.45,2004,2,2
3.16,1981,3,2
2.9,1963,3,2
2.94,1962,2,2
3.19,1976,1,2
2.78,1987,3,1
3.33,1978,2,1
2.56,2014,4,1
3.33,1961,3,2
2.33,2020,1,2
3,1966,3,1
2.43,2006,4,1
3.22,1976,1,2
2.55,1991,3,1
2.66,1994,3,1
3.11,1969,3,2
2.63,1992,2,2
2.26,2012,4,2
2.81,1971,3,2
2.75,2014,3,2
2.49,1983,2,2
2.85,1964,3,1
3.09,1979,4,1
3.11,1973,3,1
3.04,1961,2,2
2.82,1968,1,1
2.63,1993,3,2
3.07,1976,4,2
2.47,2017,4,1
2.7,2006,1,1
3.34,1976,4,2
2.42,2007,2,2
3.14,1968,3,2
3.02,1968,4,2
3.18,1971,2,1
2.32,2007,3,2
2.31,2009,2,1
3.18,1981,3,2
2.84,1966,3,2
2.84,1963,3,1
2.9,1974,2,2
3.31,1978,4,1
2.66,1997,2,2
3.38,1975,4,2
3.24,1977,4,2
3.08,1960,2,1
2.82,1978,4,2
3.01,1971,3,2
2.69,1993,4,2
3.09,1973,1,1
3.18,1976,3,1
2.96,1961,4,1
3.21,1971,1,1
2.9,1972,1,1
2.62,2002,3,1
2.57,1988,2,2
2.6,2013,2,2
3.22,1979,2,1
2.53,1986,1,1
2.84,1982,1,2
2.8,1964,2,2
2.95,1969,3,2
3.23,1980,4,1
2.67,1993,4,2
2.88,1964,4,1
2.62,1993,4,1
3.14,1960,1,2
3.01,1964,2,1
3.11,1966,2,1
2.68,1986,2,2
2.74,1987,1,2
2.97,1977,2,2
3.18,1981,4,2
2.81,1963,2,2
3.08,1966,1,1
2.96,1972,3,2
2.57,1990,1,2
3.15,1973,3,2
3.37,1967,4,1
2.99,1979,1,2
3.1,1966,4,1
2.59,2004,2,1
2.91,1966,3,2
2.83,1981,4,2
2.75,1986,3,1
3.04,1965,2,2
3.29,1970,4,2
2.67,1995,1,1
2.58,2006,3,1
3.17,1963,2,2
2.64,2006,4,2
2.74,1995,1,1
2.79,1988,3,2
2.72,2002,2,2
3.02,1971,3,2
2.74,2016,2,1
2.46,2015,4,1
3.1,1975,2,2
2.75,2008,1,2
2.7,2002,1,1
2.54,1989,1,2
2.58,2014,2,1
2.97,1973,1,1
3.25,1978,3,2
2.61,2012,2,1
3.19,1969,2,2
2.72,2005,4,1
2.47,2004,1,2
3.11,1971,4,2
2.38,1994,3,2
3.35,1963,3,2
2.49,2001,3,2
3.1,1963,3,1
3.08,1966,1,2
2.72,1990,2,2
2.48,2018,1,2
2.62,1982,4,1
3.04,1979,1,1
2.74,1992,3,2
3.39,1976,1,2
3.14,1976,2,1
3.16,1982,3,1
2.71,1989,2,2
3.19,1982,4,1
2.68,1987,1,1
3.12,1965,4,2
3.16,1971,4,2
2.36,2011,2,2
2.72,1988,3,2
3.13,1972,2,1
3.16,1982,1,1
2.86,1975,1,1
2.7,1989,4,2
2.69,2007,1,2
2.39,2008,2,2
3,1960,4,1
3,1969,2,2
2.7,1985,1,2
3.15,1982,2,2
3.15,1971,2,1
2.36,1986,3,1
2.84,1978,2,2
3.25,1968,2,2
2.49,1984,1,1
2.95,1964,3,2
2.83,1967,1,1
2.44,1992,2,1
2.44,1988,4,2
2.75,2002,1,1
3.39,1974,3,1
2.88,1970,3,1
2.96,1971,4,2
3.12,1979,1,1
2.65,1982,4,2
3.01,1969,2,1
2.44,1997,2,2
3.07,1964,1,2
3.04,1963,2,2
3.37,1979,1,1
2.6,1998,4,1
3.1,1963,3,1
3.03,1962,3,2
3.06,1978,4,2
3.21,1979,4,1
2.92,1977,1,2
2.72,1982,3,2
2.75,2011,1,2
2.44,2011,3,2
3.17,1967,2,1
2.96,1971,3,2
3.04,1963,1,2
2.93,1969,1,2
3.19,1980,4,1
2.86,1965,3,2
2.96,1980,3,1
3.13,1981,3,2
3.45,1965,1,1
3.18,1966,3,2
2.35,2011,2,2
3.21,1973,2,2
3.03,1975,1,1
2.65,2011,2,2
3.13,1961,2,1
2.5,1997,3,1
2.87,1965,2,2
2.95,1980,3,1
2.81,1973,4,2
2.36,2004,3,2
3.17,1975,2,2
2.8,1978,4,2
2.47,2012,3,1
3.57,1977,4,2
2.52,2005,4,2
2.6,1994,4,2
2.69,2002,4,1
3.23,1978,3,2
2.55,2012,1,1
2.57,2003,4,2
2.93,1970,3,2
2.77,1985,2,1
3.09,1969,4,2
2.7,1987,4,2
2.98,1973,3,2
2.6,2020,1,1
2.74,1992,2,1
2.93,1962,2,2
2.93,1982,4,1
2.9,1971,3,2
3.24,1975,4,2
3.06,1978,3,1
2.99,1978,1,2
3.43,1964,4,2
2.62,1992,1,2
3,1961,4,1
2.54,2003,3,1
3.28,1964,3,1
3.01,1982,3,2
3.05,1969,3,1
3.09,1968,1,1
2.52,1992,3,2
2.78,2002,3,2
2.67,1990,3,1
3.06,1969,1,2
2.87,1964,1,2
2.61,2013,4,1
3.07,1972,2,1
2.72,1989,1,2
2.46,2018,2,1
2.59,2008,3,1
2.88,1961,1,1
2.6,2010,2,2
2.61,1993,2,2
2.44,1990,1,1
3.22,1977,1,1
2.41,2002,3,1
3.12,1982,3,2
2.71,2019,3,1
2.78,1982,4,1
2.49,2013,1,2
3.07,1973,1,1
2.54,1985,2,1
2.82,1980,3,1
2.92,1979,2,2
2.58,2002,2,1
2.53,2018,2,1
2.61,1983,1,1
2.9,1963,4,2
2.98,1963,3,2
2.91,1969,2,2
2.57,1982,4,2
2.49,1983,3,2
3.16,1974,2,2
3.34,1964,2,2
2.72,1993,3,1
2.88,1970,1,1
2.68,2009,1,1
2.89,1976,4,1
3.14,1978,2,2
2.47,1989,1,1
2.97,1963,4,2
2.5,2012,1,1
2.7,2002,1,2
2.87,1963,3,1
2.87,1974,3,2
2.49,2012,1,1
2.69,1984,1,1
2.55,2018,3,2
3.26,1980,2,1
2.48,2015,3,1
2.99,1976,1,2
2.79,1996,1,2
2.61,1994,1,1
3.12,1973,1,2
2.86,1980,3,2
3.08,1965,1,2
2.61,2004,2,1
2.99,1977,3,1
2.79,2019,2,2
2.96,1966,2,2
3.36,1981,3,2
2.84,1978,1,1
2.62,1996,2,1
3.18,1971,4,1
2.52,1985,2,1
2.8,1972,1,2
2.65,2005,2,1
3.32,1967,2,2
2.74,1995,2,1
2.61,1989,1,2
2.61,2010,1,2
3.24,1961,3,1
2.93,1977,3,1
3.04,1978,1,2
2.53,1995,4,1
3.16,1974,1,1
2.54,1986,2,1
3.3,1964,1,1
2.94,1973,3,2
2.35,1984,4,2
